영단어,한국단어,설명
Sensitivity analysis,민감도 분석,"시스템 내의 한 성분의 변화가 전체 시스템에 어떻게 작용하는가, 혹은 위험도 평가에서 한 측면의 변화가 전체적 결과에 어떻게 영향을 미치는가를 결정하는 평가하는 분석법"
Frequency analysis,발생빈도 분석,"과거의 통계적 기록, 혹은 대상시스템에 대한 체계적 해석 결과를 이용하여 사건 발생 횟수를 확률적으로 구하는 것 User Centered"
Design (UCD),사용자 중심 설계,"제품의 계획, 설계 및 개발 단계에서 사용자(인간)의 특성과 작업환경을 고려하여 작업자의 작업 목표가 안전하고 편리하게 성취될 수 있도록 하는 설계 개념 Cost-Benefit analysis 비용-편익 분석 특정 설계나 방안의 비용과 편익을 비교․분석하여 채택 여부를 결정하는 분석법. 안전공학에서는 대개 안전 대책을 시행하는 데 소요 비용과 안전 대책이 시행될 경우 저감되는 위험도에 대한 편익을 서로 비교함. 최소한 ‘편익 > 비용’ 관계를 만족해야 채택할 수 있지만, 피해 규모가 큰 사고를 방지하는 안전설계를 선정하는 경우에는 ‘편익 < 비용’인 경우에도 채택할 수 있음 User interface design 사용자 인터페이스 설계 사용하기 편한 시스템(제품)을 만들기 위해 사용자와 시스템(제품) 사이의 상호 정보교환의 문제점을 지각적, 인지적 측면에서 밝혀내고 이를 체계화하는 과정 Permanent Means of"
Access (PMA),상설접근설비,"선박의 화물창의 높이가 높아 근접·정밀한 검사가 어려운 상황에서 문제점을 해소하기 위하여 접근할 수 있도록 계단, 발판, 사다리 등을 영구적으로 설치하여 근접검사가 쉽게 하는 검사용 설비를 지칭함"
Reliability,신뢰성,"주어진 기간 및 환경 조건에서 주어진 기능을 수행할 확률. 즉, 시간의 측면에서 본 품질로서 일정 기간 주어진 기능을 원활하게 수행할 수 있는 제품의 능력을 의미함"
Safety Factors,안전계수,기계나 구조물의 설계 시 사용하는 재료의 응력에 대한 허용기준과 설계응력의 비율
Impact Assessment,영향평가,"위험도 개선을 위한 관리 행위의 유효성을 추적하기 위한 절차 Causal factors,"
Causation factors,원인 요소,"인간과실(human error) 혹은 장비 고장과 같이 발생한 사고와 관련한 주요 사건 또는 조건(conditions). 원인 요소는 일반적으로 사고를 유발하는 초기사건, 실패한 안전장치(safeguard), 혹은 마련되지 않은 적정 안전장치를 지칭함"
Risk Management,위험도 관리,"위험도를 낮추기 위하여 위험 요소 파악, 위험도 산정, 안전 대책 수립, 잔존 위험도의 평가, 관련 기록의 보관, 관련 조직의 구성 및 감사 활동 등을 포함하는 경영 및 안전관리 활동"
Risk Assessment,위험성 평가,"위험도 해석(risk analysis) 결과에 대해 사회적, 경제적, 환경적 측면의 위험도 허용기준(risk acceptance criteria)에 기초한 판단을 내리는 과정"
Pareto Analysis,파레토 분석,"심층 평가를 위하여 가장 큰 관심 대상을 확인하고 순위를 결정 하고자 역사적 정보를 이용하는 선별심사(screening) 기법 Human System Integration (HSI) 인간-시스템 통합 시스템의 개발과정에서 인력, 조직, 훈련, 인간공학, 시스템안전, 보건, 편의성, 생존성(신뢰성)과 같은 시스템의 분야들을 통합하는 기술적 과정 Human element analyzing process (HEAP) 인적요인 분석절차 해상안전과 환경보호와 관련된 인적 요인을 다루는 실용적인 방법으로, 설계, 인간공학, 실험, 승인 및 관리 등의 기술적 검토와 함께 정원, 훈련, 작업환경 등의 분야에 대한 검토를 포함 Quantitative risk assessment (QRA) 정량적 위험성 평가 전체 시스템에서 모든 위험 요소에 의한 위험도를 정량적으로 분석하는 방법. 대상은 인명, 환경 및 재산 등이며, 이 중에서 인명에 대한 정량적 위험도 평가를 가장 중요하게 다룸 Qualitative risk assessment 정성적 위험성 평가 사건의 발생확률과 사건에 의한 인명, 환경 또는 재산의 피해 정도를 양이 아닌 특성으로 평가하는 기법으로 시스템에 미치는 특정 위험과 위험 응답의 중요성을 결정할 수 있음"
Fatigue,피로,"① 정신력, 체력, 신속성, 반응시간, 기능의 조화, 의사결정, 마음의 안정 등을 포함한 모든 육체적, 정신적 또는 감정적인 소모의 결과로 인간의 육체적, 정신적 능력이 저하되는 것. 즉, 인간의 효율성 감소를 의미 ② 선체 구조 부재가 파도와 같은 반복하중에 노출되어 일순간에 구조손상이 발생하지는 않으나 시간이 누적됨에 따라 나타나는 균열 현상 Hazard and operability (HAZOP) 위험요소 및 운용성 새로운 시스템을 설계할 때 잠재적인 위험요인과 운영상의 문제점을 파악하고 사고를 방지하기 위한 적절한 안전장치가 설치되어 있는 지를 확인하는 방법으로 주로 위험요소 규명(hazard identification) 단계에서 사용되는 정성적인 분석 방법 해상보안"
Maritime Security,해상보안,"원활한 해상 무역을 위해서 선박과 선원, 항만은 해상보안에 대한 위협으로부터 보호받아야 함. IMO는 관계자들이 자체적으로 보안 시스템을 갖추고, 정부에 협조하여 글로벌 해상 무역을 보호하도록 지원하고 있으며 규정과 지침서를 발간하고, 회원국들의 역량 개발을 위해 해상보안 신탁자금을 운용함"
Cyber Security,사이버보안,"선박의 선상 정보 기술과 운항 기술 시스템은 육상 시스템과 마찬가지로 해킹에 취약함. 보안 침입은 선박, 항만, 해양시설 및 운송시스템의 안전과 보안에 위협을 끼치게 되므로 IMO는 해상 사이버 위험관리 지침서를 발간하는 등 산업계가 사이버 위험요인을 초기에 인지하여 방어할 수 있도록 지원함"
Stowaways,밀항자,밀항자란 선주나 선장 그리고 관리자의 동의 없이 선박이나 적재 중인 화물 안에 숨어들어 출항 후 선박이나 다음 항만에서 하역 작업 시 적발된 자를 지칭함. 선장은 발견 즉시 관할 당국에 보고해야 함
ISPS Code,국제선박 및 항만시설 보안 규칙,"International Ship and Port Facility Security Code (ISPS Code)는 2001년 9.11 테러 공격 이후 해상에서의 선박의 보안을 다루기 위해 제정되었으며, SOLAS 11-2장에 포함됨. ISPS 코드는 선박 항만 보안을 위해 기국, 항만국, 선사, 선박 및 항만시설에 대한 요건을 규정하고 있음. 일부 기국은 특정 해역에 보안 수준을 지정할 수 있음. 기국은 통항하는 선박에 보안 레벨을 알리고, 선박은 선박보안계획서(SSP, Ship Security Plan)에 명시된 조치를 이행해야 함. 이 과정은 선사, 선박보안책임자(Ship Security"
"Officer, SSO)",및 선장이 관여함,"Ship Security Plan (SSP) 선박 보안 계획 ISPS 코드는 모든 여객선과 총톤수 500톤 이상인 모든 화물선에 선박 보안계획을 이행하도록 요구함. 선박 보안계획은 선박의 보안과 관련된 계획에 제시된 조치 사항들이 선상에서 적용되도록 마련된 계획임. 이는 보안 관련 위험으로부터 인력, 화물, 화물 이송 장치, 창고 등을 보호하기 위함. 이 계획은 ISPS 코드, 산업계, IMO 등에 따라 개발되었으며, 주관청 또는 주관청을 대행하는 인정기관 (RO)의 승인이 필요함. Ship Security Alert"
System (SSAS),선박 보안 경보 시스템,"선박보안경보 시스템은 선박의 보안을 강화하고 해적이나 테러의 위험을 방지하기 위한 안전 조치임. 자동 경보시스템으로써, 비상시 경보시스템을 활성화 시켜도 본선이나 주위에 시각/청각 신호를 발생하지 않음. 경보는 대부분 선주나 보안관리자가 먼저 수신한 후 기국에 알리며, 항해중인 선박의 가까운 연안국에 알려야 함 Company Security"
Officer (CSO),총괄 보안 책임자,"항만시설 보안책임자, 선박 보안책임자와 교신하며, 선박 보안계획을 개발하여 제출 및 승인을 받고 이후 보안계획 이행과 정비유지를 담당하는 자 Ship Security"
Officer (SSO),선박 보안책임자,"항만시설 보안책임자, 총괄 보안책임자와 교신하며, 선상에서 보안 계획을 시행하고 유지하는 자로서 보통 선장의 임무임 Port Facility Security Officer (PFSO) 항만시설 보안책임자 총괄보안 책임자, 선박 보안책임자와 교신하며, 항만시설 보안 계획을 개발하고 시행 및 유지, 보수하는 책임자임 Port Facility"
Security Plan (PFSP),항만시설 보안계획서,"보안의 위협으로부터 항만시설 내의 항만 설비, 선박, 인명, 화물 등을 보호하기 위해 조치 사항을 개발하고 적용하는 계획서임 Declaration of"
Security (DOS),보안선언서,"항만시설 보안책임자와 선박 보안책임자 간에 지정된 보안 수준에 대응하여 이행하여야 하는 보안 조치를 나타내는 양해문서 International Ship Security Certificate (ISSC) 국제선박 보안증서 해당 선박의 보안 시스템과 보안장비가 ISPS 코드에 부합하며, 모든 조건을 만족하는 경우, 기국으로부터 발행되는 증서 해적 및 무장강도"
Piracy,해적,"민간 선박(항공기 포함)의 선원이나 승객이 다른 선박에 대하여 사적 목적으로 행하는 불법적 폭력, 억류 또는 약탈행위이며 공해상 또는 국가 관할권이 속하지 않는 곳에서 발생한 것. 해적선으로 활동하는데 협조한 행위, 그리고 상기 행위를 의도적으로 방조한 모든 행위를 말함 Armed robbery against ships 선박 무장강도 한 국가의 영해 내에서 선박이나 그 선박의 승객과 재산에 행해지는 ‘해적’ 행위 이외의 폭력이나 억류, 약탈, 위협 행위를 말함. 또한, 상기 행위를 의도적으로 방조한 모든 행위를 말함"
SUA Convention,항해 안전에 대한 불법행위방지 협약,"Convention on the Suppression of Unlawful Acts against the Safety of Maritime Navigation (SUA)은 1988년도에 채택 되었으며, 2005년에 개정됨. 선박을 상대로 불법 행위를 저지르는 사람에 대한 방안으로 제정이 되었으며. 선박 강제점령, 선원 폭행, 폭발물 설치 등을 다룸 Best Management Practices (BMP) (해적행위 방지를 위한) 최적관리기법 서아프리카 기니만 등 해적 행위가 빈번한 해역에서 선박의 안전과 선원을 보호하기 위하여 BMP Guideline을 발간하고 있음. 발간 목적은 선박의 항로계획과 외부 공격으로부터의 보호, 방어 및 사고 보고 등에 도움을 주고자 함. 해적과 무장강도들의 공격 방법이 다양해짐에 따라 지속해서 지침이 갱신됨 Contact Group on Piracy in Somalia (CGPCS) 소말리아해적퇴치연락그룹 유엔 안보리 결의서 1851의 ‘해적퇴치를 위한 공통의 접촉 창구 역할을 수행할 국제협력 메커니즘’ 수립 권고에 따라, 2009년 1월 소말리아 해적퇴치를 위한 소말리아해적퇴치연락그룹(CGPCS)이 창설됨. 해적퇴치를 위한 회원국 간 국제협력을 조정함 WCA Code of"
Conduct,서·중앙아프리카 행동강령,"서·중앙 아프리카 지역에서의 해적, 무장강도, 불법 해상활동근절을 위한 새로운 행동강령으로 2013년 7월 카메룬에서 채택됨. IMO는 서·중앙 아프리카 지역에 대한 역량 강화 활동을 지원하기 위한 신규 다자 신탁 펀드(multi-donor trust fund)를 조성함 The Regional Cooperation Agreement on Combating Piracy and Armed Robbery against ships in Asia - Information Sharing Centre (ReCAAP-ISC) 아시아해적퇴치협정 해적정보공유센터 ReCAAP은 아시아 지역의 해적퇴치를 위한 16개국 간의 다자협정 이며, 현재 20개국이 비준함. 정보공유센터(ISC)를 설립하여 당사국 간 해적과 해상 강도 등 사고 정보를 공유하고 있음. ReCAAP-ISC는 연중무휴 당사국 간 연락망을 이용하여 정보 공유 체계를 운영하고 있음. 정보 공유를 통하여 해운업계에 비상 경고를 발송하고, 연안국의 법적 대응을 촉구하기도 함. 수집하고 검증된 사고 정보를 바탕으로 ReCAAP ISC는 정기적인 보고서(주간, 월별, 분기별, 반기, 연간)를 통해 아시아 지역의 해적과 무장강도 사고의 정확한 통계와 분석 자료를 제공함 International Maritime Bureau (IMB) Piracy"
